Comment,Designator,Footprint,LCSC
PRTR5V0U2X,"D41,D98",SOT-143,C12333
74LVC1T45,"U2,U9",SOT-363_SC-70-6,C139353
"TCR2EF19,LM(CT","U3,U8",SOT-23-5,C146366
SW_Push,"SW20,SW40",SKQG-1155865,C221856
WS2812B,"D100,D21,D25,D34,D37,D38,D4,D49,D50,D51,D52,D87,D88,D91,D92,D94,D95,D96,D97,D99",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2843785
4.7uF,"C3,C7",C_0805_2012Metric,C303940
1uF,"C2,C6",C_0805_2012Metric,C366879
10K,"R2,R3,R5,R6",R_0805_2012Metric,C406725
Conn_01x12_Female,"J3,J4,J6,J8",FPC-SMD_FPC05012-09200-.5mm-rev,C479750
39,"R1,R4",R_0805_2012Metric,C514993
0.1uF,"C1,C4,C5,C8",C_0805_2012Metric,C77456
1N4148,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D3,D42,D43,D44,D45,D46,D47,D48,D5,D53,D57,D58,D59,D6,D60,D64,D65,D66,D67,D7,D71,D72,D73,D74,D77,D78,D79,D8,D80,D85,D86,D89,D9,D90,D93",D_SOD-123,C8598
SW_Push,SW22,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D84,MX_SK6812MINI-E_REV,
SK6812MINI-E,D36,MX_SK6812MINI-E_REV,
Rotary_Encoder_Switch,SW39,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,
SW_Push,SW6,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW27,Silent Square Micro Switch,
SK6812MINI-E,D62,MX_SK6812MINI-E_REV,
SW_Push,SW11,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW13,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D26,MX_SK6812MINI-E_REV,
Helios,U7,Helios,
SK6812MINI-E,D68,MX_SK6812MINI-E_REV,
SW_Push,SW35,Silent Square Micro Switch,
SK6812MINI-E,D29,MX_SK6812MINI-E_REV,
SK6812MINI-E,D33,MX_SK6812MINI-E_REV,
SW_Push,SW8,Silent Square Micro Switch,
SK6812MINI-E,D56,MX_SK6812MINI-E_REV,
Rotary_Encoder_Switch,SW21,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm-keebio_modified,
SW_Push,SW16,Silent Square Micro Switch,
SW_Push,SW3,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D23,MX_SK6812MINI-E_REV,
DRV2605L,U5,Pimoroni Haptic Buzz DRV2605L Driver,
SK6812MINI-E,D70,MX_SK6812MINI-E_REV,
SW_Push,SW33,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW25,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D32,MX_SK6812MINI-E_REV,
SW_Push,SW26,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW34,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW19,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D40,MX_SK6812MINI-E_REV,
Conn_01x08_Female,J1,Screen Dupont,
SK6812MINI-E,D30,MX_SK6812MINI-E_REV,
SW_Push,SW24,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW23,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW7,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW38,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D83,MX_SK6812MINI-E_REV,
SW_Push,SW29,Kailh_hotswap_only_MX-CHOC,
5Way-Tactile_K1-1506DN-01,HAT2,5Way-non-reverse,
SK6812MINI-E,D31,MX_SK6812MINI-E_REV,
SW_Push,SW10,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D69,MX_SK6812MINI-E_REV,
SK6812MINI-E,D81,MX_SK6812MINI-E_REV,
SW_Push,SW36,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW4,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW31,Silent Square Micro Switch,
SW_Push,SW28,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW18,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW32,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D27,MX_SK6812MINI-E_REV,
SK6812MINI-E,D82,MX_SK6812MINI-E_REV,
SW_Push,SW5,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D39,MX_SK6812MINI-E_REV,
SK6812MINI-E,D24,MX_SK6812MINI-E_REV,
SK6812MINI-E,D22,MX_SK6812MINI-E_REV,
SW_Push,SW17,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D76,MX_SK6812MINI-E_REV,
AudioJack4dpb,J2,TRRS-PJ-320A,
SK6812MINI-E,D61,MX_SK6812MINI-E_REV,
SW_Push,SW1,Kailh_hotswap_only_MX-CHOC,
DRV2605L,U6,Pimoroni Haptic Buzz DRV2605L Driver,
SW_Push,SW14,Kailh_hotswap_only_MX-CHOC,
SW_Push,SW15,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D55,MX_SK6812MINI-E_REV,
SW_Push,SW37,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D63,MX_SK6812MINI-E_REV,
SW_Push,SW30,Kailh_hotswap_only_MX-CHOC,
Conn_01x08_Female,J7,Screen Dupont,
SK6812MINI-E,D35,MX_SK6812MINI-E_REV,
AudioJack4dpb,J5,TRRS-PJ-320A,
SK6812MINI-E,D54,MX_SK6812MINI-E_REV,
SW_Push,SW9,Kailh_hotswap_only_MX-CHOC,
SK6812MINI-E,D75,MX_SK6812MINI-E_REV,
SW_Push,SW2,Kailh_hotswap_only_MX-CHOC,
Helios,U1,Helios,
SK6812MINI-E,D28,MX_SK6812MINI-E_REV,
SW_Push,SW12,Silent Square Micro Switch,
5Way-Tactile_K1-1506DN-01,HAT1,5Way-non-reverse,
PMW3360DM-T2QU,U10,PMW3360DM-T2QU,
PMW3360DM-T2QU,U4,PMW3360DM-T2QU,
Conn_01x08,J10,PinSocket_1x08_P2.00mm_Vertical,
Conn_01x08,J9,PinSocket_1x08_P2.00mm_Vertical,
